grid_code,STATE_ABBR,latitude,longitude
22.0000000,MT,48.799678710000002,-115.931982980000001
12.0000000,MT,48.818557679999998,-115.800336999999999
22.0000000,MT,48.837314769999999,-115.668613850000000
11.0000000,MT,48.855949870000003,-115.536813989999999
11.0000000,MT,48.874462829999999,-115.404937849999996
11.0000000,MT,48.691749950000002,-116.035401579999998
22.0000000,MT,48.710717430000003,-115.904006809999998
13.0000000,MT,48.729563370000001,-115.772534759999999
22.0000000,MT,48.748287609999998,-115.640985869999994
21.0000000,MT,48.766890040000000,-115.509360580000006
11.0000000,MT,48.785370520000001,-115.377659320000006
11.0000000,MT,48.803728909999997,-115.245882539999997
11.0000000,MT,48.821965089999999,-115.114030670000005
21.0000000,MT,48.840078929999997,-114.982104169999999
11.0000000,MT,48.858070290000001,-114.850103469999993
11.0000000,MT,48.875939060000000,-114.718029029999997
21.0000000,MT,48.602848520000002,-116.007329499999997
12.0000000,MT,48.621782979999999,-115.876107910000002
23.0000000,MT,48.640596060000000,-115.744809369999999
12.0000000,MT,48.659287620000001,-115.613434290000001
12.0000000,MT,48.677857549999999,-115.481983130000003
11.0000000,MT,48.696305709999997,-115.350456309999998
11.0000000,MT,48.714631959999998,-115.218854269999994
11.0000000,MT,48.732836190000000,-115.087177460000007
21.0000000,MT,48.750918249999998,-114.955426320000001
11.0000000,MT,48.768878030000003,-114.823601289999999
11.0000000,MT,48.786715379999997,-114.691702809999995
11.0000000,MT,48.804430199999999,-114.559731339999999
22.0000000,MT,48.822022339999997,-114.427687320000004
21.0000000,MT,48.839491680000002,-114.295571210000006
21.0000000,MT,48.856838109999998,-114.163383449999998
11.0000000,MT,48.874061480000002,-114.031124500000004
12.0000000,MT,48.513973389999997,-115.979334809999997
12.0000000,MT,48.532874980000003,-115.848285980000000
12.0000000,MT,48.551655380000000,-115.717160500000006
11.0000000,MT,48.570314439999997,-115.585958809999994
11.0000000,MT,48.588852039999999,-115.454681330000000
11.0000000,MT,48.607268040000001,-115.323328509999996
11.0000000,MT,48.625562330000001,-115.191900790000005
11.0000000,MT,48.643734760000001,-115.060398590000005
11.0000000,MT,48.661785219999999,-114.928822359999998
11.0000000,MT,48.679713560000003,-114.797172549999999
11.0000000,MT,48.697519679999999,-114.665449589999994
11.0000000,MT,48.715203430000003,-114.533653939999994
11.0000000,MT,48.732764699999997,-114.401786040000005
21.0000000,MT,48.750203360000000,-114.269846340000001
21.0000000,MT,48.767519280000002,-114.137835289999998
11.0000000,MT,48.784712350000000,-114.005753330000005
11.0000000,MT,48.801782430000003,-113.873600940000003
11.0000000,MT,48.818729400000002,-113.741378549999993
11.0000000,MT,48.835553150000003,-113.609086629999993
21.0000000,MT,48.852253550000000,-113.476725639999998
21.0000000,MT,48.868830480000000,-113.344296029999995
21.0000000,MT,48.885283819999998,-113.211798270000003
12.0000000,MT,48.425124199999999,-115.951417190000001
11.0000000,MT,48.443993100000000,-115.820540690000001
12.0000000,MT,48.462740969999999,-115.689587849999995
12.0000000,MT,48.481367689999999,-115.558559110000004
12.0000000,MT,48.499873129999997,-115.427454890000007
22.0000000,MT,48.518257149999997,-115.296275629999997
21.0000000,MT,48.536519630000001,-115.165021769999996
11.0000000,MT,48.554660439999999,-115.033693740000004
12.0000000,MT,48.572679450000003,-114.902291989999995
11.0000000,MT,48.590576540000001,-114.770816949999997
11.0000000,MT,48.608351579999997,-114.639269069999997
11.0000000,MT,48.626004440000003,-114.507648790000005
11.0000000,MT,48.643534989999999,-114.375956560000006
11.0000000,MT,48.660943119999999,-114.244192819999995
21.0000000,MT,48.678228709999999,-114.112358020000002
21.0000000,MT,48.695391610000001,-113.980452610000000
11.0000000,MT,48.712431729999999,-113.848477050000000
11.0000000,MT,48.729348920000000,-113.716431790000001
11.0000000,MT,48.746143080000003,-113.584317279999993
21.0000000,MT,48.762814079999998,-113.452133979999999
21.0000000,MT,48.779361799999997,-113.319882350000000
21.0000000,MT,48.795786120000002,-113.187562839999998
31.0000000,MT,48.812086930000000,-113.055175930000004
31.0000000,MT,48.828264109999999,-112.922722059999998
21.0000000,MT,48.844317529999998,-112.790201710000005
31.0000000,MT,48.860247090000001,-112.657615340000007
31.0000000,MT,48.876052659999999,-112.524963420000006
31.0000000,MT,48.891734130000003,-112.392246420000006
12.0000000,MT,48.317343479999998,-116.054204499999997
12.0000000,MT,48.336300580000000,-115.923576350000005
12.0000000,MT,48.355136950000002,-115.792871739999995
11.0000000,MT,48.373852479999996,-115.662091110000006
21.0000000,MT,48.392447030000000,-115.531234880000000
21.0000000,MT,48.410920470000001,-115.400303480000005
11.0000000,MT,48.429272679999997,-115.269297350000002
12.0000000,MT,48.447503519999998,-115.138216920000005
11.0000000,MT,48.465612870000001,-115.007062619999999
11.0000000,MT,48.483600600000003,-114.875834909999995
11.0000000,MT,48.501466590000000,-114.744534200000004
21.0000000,MT,48.519210710000003,-114.613160949999994
21.0000000,MT,48.536832830000002,-114.481715600000001
11.0000000,MT,48.554332840000001,-114.350198579999997
11.0000000,MT,48.571710600000003,-114.218610360000000
11.0000000,MT,48.588965999999999,-114.086951360000000
21.0000000,MT,48.606098920000001,-113.955222050000003
11.0000000,MT,48.623109220000003,-113.823422870000002
11.0000000,MT,48.639996789999998,-113.691554280000005
11.0000000,MT,48.656761520000003,-113.559616719999994
21.0000000,MT,48.673403270000001,-113.427610650000005
21.0000000,MT,48.689921929999997,-113.295536540000001
21.0000000,MT,48.706317390000002,-113.163394830000001
31.0000000,MT,48.722589530000000,-113.031185989999997
31.0000000,MT,48.738738220000002,-112.898910470000004
21.0000000,MT,48.754763349999998,-112.766568739999997
31.0000000,MT,48.770664810000000,-112.634161270000007
31.0000000,MT,48.786442479999998,-112.501688520000002
31.0000000,MT,48.802096249999998,-112.369150950000005
31.0000000,MT,48.817625999999997,-112.236549040000000
31.0000000,MT,48.833031630000001,-112.103883249999996
31.0000000,MT,48.848313009999998,-111.971154060000003
31.0000000,MT,48.863470040000003,-111.838361930000005
11.0000000,MT,48.228577620000003,-116.026268950000002
12.0000000,MT,48.247502189999999,-115.895811960000003
12.0000000,MT,48.266306210000003,-115.765278820000006
11.0000000,MT,48.284989560000000,-115.634669959999997
21.0000000,MT,48.303552099999997,-115.503985810000003
11.0000000,MT,48.321993710000001,-115.373226799999998
11.0000000,MT,48.340314260000000,-115.242393370000002
11.0000000,MT,48.358513629999997,-115.111485930000001
21.0000000,MT,48.376591679999997,-114.980504929999995
12.0000000,MT,48.394548299999997,-114.849450809999993
11.0000000,MT,48.412383349999999,-114.718323990000002
11.0000000,MT,48.430096710000001,-114.587124930000002
11.0000000,MT,48.447688260000000,-114.455854059999993
11.0000000,MT,48.465157880000000,-114.324511819999998
11.0000000,MT,48.482505430000003,-114.193098660000004
11.0000000,MT,48.499730810000003,-114.061615020000005
11.0000000,MT,48.516833880000000,-113.930061359999996
11.0000000,MT,48.533814530000001,-113.798438110000006
11.0000000,MT,48.550672630000001,-113.666745730000002
11.0000000,MT,48.567408080000000,-113.534984670000000
11.0000000,MT,48.584020740000000,-113.403155380000001
21.0000000,MT,48.600510499999999,-113.271258320000001
21.0000000,MT,48.616877240000001,-113.139293949999995
21.0000000,MT,48.633120849999997,-113.007262720000000
21.0000000,MT,48.649241210000000,-112.875165089999996
21.0000000,MT,48.665238199999997,-112.743001520000007
31.0000000,MT,48.681111719999997,-112.610772479999994
31.0000000,MT,48.696861630000001,-112.478478429999996
31.0000000,MT,48.712487840000001,-112.346119830000006
31.0000000,MT,48.727990230000003,-112.213697150000002
31.0000000,MT,48.743368680000003,-112.081210859999999
31.0000000,MT,48.758623090000000,-111.948661430000001
31.0000000,MT,48.773753339999999,-111.816049320000005
31.0000000,MT,48.788759329999998,-111.683375020000000
31.0000000,MT,48.803640940000001,-111.550638989999996
31.0000000,MT,48.818398070000001,-111.417841719999998
31.0000000,MT,48.833030610000002,-111.284983659999995
21.0000000,MT,48.847538460000003,-111.152065320000005
31.0000000,MT,48.861921500000001,-111.019087150000004
31.0000000,MT,48.876179630000003,-110.886049659999998
11.0000000,MT,48.139836469999999,-115.998409969999997
